link_real,nombre_muni,nombre_dep,mesas_informadas%,mesas_usadas,mesas_disponibles,votantes%,votantes_cumplieron,votantes_habilidatos,apoya%,apoya#,no_apoya%,no_apoya#,votos_validos,votos_no_marcados,votos_anulados
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL12750ZZZZZZZZZZZZ_L1.htm,RIO DE ORO,CESAR,100.0,39,39,31.74,4535,14285,37.32,1605,62.67,2695,4300,172,63
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL12800ZZZZZZZZZZZZ_L1.htm,SAN ALBERTO,CESAR,100.0,45,45,36.96,6734,18215,37.84,2496,62.15,4100,6596,39,99
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL12850ZZZZZZZZZZZZ_L1.htm,SAN DIEGO,CESAR,100.0,36,36,35.51,5004,14089,61.44,3003,38.55,1884,4887,42,75
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL12875ZZZZZZZZZZZZ_L1.htm,SAN MARTIN,CESAR,100.0,37,37,39.66,5698,14366,34.8,1934,65.19,3623,5557,30,111
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL12900ZZZZZZZZZZZZ_L1.htm,TAMALAMEQUE,CESAR,100.0,27,27,28.33,2838,10017,67.57,1859,32.42,892,2751,27,60
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL12001ZZZZZZZZZZZZ_L1.htm,VALLEDUPAR,CESAR,100.0,630,630,31.48,87908,279165,51.69,44788,48.3,41843,86631,379,898
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17004ZZZZZZZZZZZZ_L1.htm,ACANDI,CHOCO,100.0,24,24,25.22,2105,8345,76.37,1568,23.62,485,2053,33,19
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17006ZZZZZZZZZZZZ_L1.htm,ALTO BAUDO (PIE DE PATO),CHOCO,100.0,47,47,33.8,3217,9515,92.63,2942,7.36,234,3176,22,19
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17002ZZZZZZZZZZZZ_L1.htm,ATRATO (YUTO),CHOCO,100.0,23,23,32.52,2675,8224,80.49,2080,19.5,504,2584,31,60
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17007ZZZZZZZZZZZZ_L1.htm,BAGADO,CHOCO,100.0,25,25,30.06,2518,8376,92.03,2264,7.96,196,2460,12,46
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17008ZZZZZZZZZZZZ_L1.htm,BAHIA SOLANO (MUTIS),CHOCO,100.0,21,21,30.99,2350,7582,83.13,1917,16.86,389,2306,24,20
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17010ZZZZZZZZZZZZ_L1.htm,BAJO BAUDO (PIZARRO),CHOCO,100.0,33,33,29.79,3038,10197,92.16,2741,7.83,233,2974,43,21
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17011ZZZZZZZZZZZZ_L1.htm,BOJAYA (BELLAVISTA),CHOCO,100.0,26,26,30.37,2086,6868,95.78,1978,4.21,87,2065,6,15
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17015ZZZZZZZZZZZZ_L1.htm,CARMEN DEL DARIEN,CHOCO,100.0,16,16,24.7,1368,5537,95.69,1290,4.3,58,1348,12,8
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17014ZZZZZZZZZZZZ_L1.htm,CERTEGUI,CHOCO,100.0,13,13,41.59,1709,4109,76.41,1238,23.58,382,1620,2,87
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17013ZZZZZZZZZZZZ_L1.htm,CONDOTO,CHOCO,100.0,33,33,31.76,3344,10526,72.68,2296,27.31,863,3159,45,140
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17017ZZZZZZZZZZZZ_L1.htm,EL CANTON DEL SAN PABLO (MAN.,CHOCO,100.0,14,14,28.49,1281,4495,74.89,916,25.1,307,1223,22,36
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17016ZZZZZZZZZZZZ_L1.htm,EL CARMEN,CHOCO,100.0,16,16,32.15,1903,5918,56.38,1033,43.61,799,1832,25,46
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17038ZZZZZZZZZZZZ_L1.htm,EL LITORAL DEL SAN JUAN,CHOCO,100.0,22,22,38.73,2811,7257,94.89,2508,5.1,135,2643,156,12
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17019ZZZZZZZZZZZZ_L1.htm,ISTMINA,CHOCO,100.0,56,56,27.73,5912,21319,70.38,3990,29.61,1679,5669,88,155
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17022ZZZZZZZZZZZZ_L1.htm,JURADO,CHOCO,100.0,13,13,24.4,744,3049,80.11,580,19.88,144,724,13,7
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17025ZZZZZZZZZZZZ_L1.htm,LLORO,CHOCO,100.0,21,21,35.05,2666,7605,83.02,2128,16.97,435,2563,40,63
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17012ZZZZZZZZZZZZ_L1.htm,MEDIO ATRATO (BETE),CHOCO,100.0,19,19,39.76,2252,5663,95.84,2145,4.15,93,2238,6,8
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17026ZZZZZZZZZZZZ_L1.htm,MEDIO BAUDO (PUERTO MELUK),CHOCO,100.0,26,26,36.48,2787,7639,93.19,2561,6.8,187,2748,16,23
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17027ZZZZZZZZZZZZ_L1.htm,MEDIO SAN JUAN,CHOCO,100.0,24,24,41.21,3081,7475,86.25,2580,13.74,411,2991,36,54
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17028ZZZZZZZZZZZZ_L1.htm,NOVITA,CHOCO,100.0,19,19,33.23,1739,5232,74.12,1212,25.87,423,1635,30,74
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17031ZZZZZZZZZZZZ_L1.htm,NUQUI,CHOCO,100.0,16,16,28.5,1543,5413,93.21,1416,6.78,103,1519,12,12
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17001ZZZZZZZZZZZZ_L1.htm,QUIBDO,CHOCO,100.0,197,197,35.48,28522,80380,73.89,20260,26.1,7159,27419,308,795
